#,Player,,GP,G,,A,PTS,,SH,SH%,SOG,SOG%,YC-RC,GW,,PK-ATT,,,,,,
9,"Cirrito, Nick",,18,4,,1,9,,20,0.200,9,0.450,1-0,2,,1-1,,,,,,
25,"Valverde, Andrew",,18,3,,2,8,,12,0.250,7,0.583,0-0,1,,0-0,,,,,,
10,"Allen, Alessandro",,16,1,,4,6,,22,0.045,8,0.364,1-0,0,,1-1,,,,,,
17,"Carvalho, Max",,18,3,,0,6,,28,0.107,8,0.286,1-0,2,,0-0,,,,,,
24,"Jacobus, Carter",,18,2,,1,5,,15,0.133,6,0.400,2-0,2,,1-1,,,,,,
,Team,,2,2,,0,4,,0,0.000,0,0.000,0-0,1,,0-0,,,,,,
23,"Hagan, Jack",,14,1,,1,3,,11,0.091,2,0.182,1-0,0,,0-0,,,,,,
7,"Haubrich, Mason",,16,1,,1,3,,16,0.063,5,0.313,1-0,0,,0-0,,,,,,
13,"Kim, Alan",,18,0,,2,2,,3,0.000,1,0.333,0-0,0,,0-0,,,,,,
3,"Sonenstein, Noah",,17,1,,0,2,,7,0.143,4,0.571,2-0,0,,0-0,,,,,,
21,"Clark, Euan",,18,0,,0,0,,4,0.000,1,0.250,1-0,0,,0-0,,,,,,
16,"Foltyn, John",,2,0,,0,0,,1,0.000,0,0.000,0-0,0,,0-0,,,,,,
20,"Gibson, Asa",,18,0,,0,0,,11,0.000,6,0.545,2-0,0,,0-0,,,,,,
00,"Huy, Dylan",,2,0,,0,0,,0,0.000,0,0.000,0-0,0,,0-0,,,,,,
19,"Kawamura, Jonah",,18,0,,0,0,,2,0.000,0,0.000,3-0,0,,0-0,,,,,,
8,"Lachenbruch, Cooper",,17,0,,0,0,,5,0.000,1,0.200,3-0,0,,0-0,,,,,,
14,"McDonnell, Sean",,12,0,,0,0,,1,0.000,0,0.000,1-0,0,,0-0,,,,,,
30,"Peters, Dominic",,17,0,,0,0,,0,0.000,0,0.000,0-0,0,,0-0,,,,,,
11,"Sabbagh, Omar",,5,0,,0,0,,0,0.000,0,0.000,1-0,0,,0-0,,,,,,
5,"Serpa, Jake",,18,0,,0,0,,7,0.000,2,0.286,3-0,,0,0-0,,,,,,
,"Shor, Nicholas",,3,0,,0,0,,0,0.000,0,0.000,0-0,,0,0-0,,,,,,
4,"Walker, Adam",,18,0,,0,0,,6,0.000,3,0.500,2-0,,0,0-0,,,,,,
18,"Yamaguchi, Jota",,5,0,,0,0,,1,0.000,1,1.000,0-0,,0,0-0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shots/Game,,,,,,,,,,,,,,,,,,,,,,
CORNER KICKS,,,,,,,,,,,,,,,,,,,,,,
PENALTY KICKS,,,,,,,,,,,,,,,,,,,,,,
PENALTIES,,,,,,,,,,,,,,,,,,,,,,
Yellow Cards,,,,,,,,,,,,,,,,,,,,,,
Red Cards,,,,,,,,,,,,,,,,,,,,,,
ATTENDANCE,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,
Dates-Avg Per Date,,,,,,,,,,,,,,,,,,,,,,
Neutral Site #-Avg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
