#,Player,,GP,,G,,,A,,PTS,,SH,,SH%,SOG,SOG%,GW,PK-ATT,,,,,,,,,,,
10,"Jones, Brett",,17,,12,,,2,,26,,51,,0.235,23,0.451,5,0-0,,,,,,,,,,,
11,"Sabouri, Jonathan",,18,,8,,,4,,20,,36,,0.222,17,0.472,4,0-0,,,,,,,,,,,
9,"Cirrito, Nick",,19,,4,,,1,,9,,31,,0.129,11,0.355,1,1-1,,,,,,,,,,,
20,"Allen, Alessandro",,20,,2,,,3,,7,,22,,0.091,11,0.500,1,0-0,,,,,,,,,,,
29,"Lachenbruch, Cooper",,19,,2,,,3,,7,,22,,0.091,10,0.455,0,0-0,,,,,,,,,,,
14,"Cuevas, Aidan",,18,,1,,,3,,5,,14,,0.071,5,0.357,1,0-0,,,,,,,,,,,
13,"Daley, Cory",,19,,2,,,1,,5,,8,,0.250,3,0.375,1,0-0,,,,,,,,,,,
7,"Sartor, Andy",,18,,0,,,4,,4,,27,,0.000,11,0.407,0,0-0,,,,,,,,,,,
,"Kristjansson, Jon veigar",,18,,2,,,0,,4,,17,,0.118,6,0.353,1,0-1,,,,,,,,,,,
19,"Daneshvar, Shaheen",,17,,2,,,0,,4,,19,,0.105,6,0.316,0,0-0,,,,,,,,,,,
23,"Gonda, Max",,8,,2,,,0,,4,,9,,0.222,3,0.333,0,0-0,,,,,,,,,,,
18,"Tager, Lucas",,17,,1,,,0,,2,,6,,0.167,4,0.667,0,0-0,,,,,,,,,,,
5,"Stoop, Jonathan",,14,,0,,,1,,1,,4,,0.000,1,0.250,0,0-0,,,,,,,,,,,
1,"Enciso, Pedro",,20,,0,,,1,,1,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
28,"Nelson, Oliver",,10,,0,,,1,,1,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
22,"Yamaguchi, Jota",,18,,0,,,1,,1,,5,,0.000,0,0.000,0,0-0,,,,,,,,,,,
17,"Davis, Matt",,12,,0,,,1,,1,,4,,0.000,1,0.250,0,0-0,,,,,,,,,,,
26,"Wagstaff, Collin",,3,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
3,"Kilic, Stjepan",,1,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
,"Fields, Hunter",,2,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
4,"Uribe, Kelvin",,16,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
15,"Buckley, Darragh",,7,,0,,,0,,0,,1,,0.000,0,0.000,0,0-0,,,,,,,,,,,
6,"Karam, Jordan",,1,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
16,"Sonenstein, Noah",,20,,0,,,0,,0,,10,,0.000,0,0.000,0,0-0,,,,,,,,,,,
25,"Wong, Zach",,12,,0,,,0,,0,,1,,0.000,0,0.000,0,0-0,,,,,,,,,,,
21,"Cornejo, Devin",,3,,0,,,0,,0,,1,,0.000,0,0.000,0,0-0,,,,,,,,,,,
24,"Flores Leon, Martin",,4,,0,,,0,,0,,0,,0.000,0,0.000,0,0-0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
